num_vertices,t_rank0,t_mpi,t_total,
16,0.000039,0.000188,0.000256,
32,0.000074,0.000346,0.000504,
64,0.000150,0.000797,0.001381,
128,0.000292,0.002383,0.004017,
256,0.000625,0.007888,0.016118,
512,0.001243,0.030945,0.064790,
1024,0.002334,0.111131,0.234788,
2048,0.005059,0.410970,1.033859,
4096,0.011498,1.574198,4.289497,
8192,0.024960,6.501309,18.566170,
16384,0.056149,27.578614,83.517523,
32768,0.127467,106.093328,344.428277,
