round,t_total,t_mpi,t_rank0,comm0,comm1,comm2,comm3,comm4,
0,0.993488,0.031201,0.067326,0.030927,0.000000,0.000000,0.000000,0.000273,
1,277.881434,108.772310,0.039731,0.000000,89.463615,19.223750,0.030566,0.054379,
2,74.348507,3.786537,0.022060,0.000000,2.958562,0.803499,0.024265,0.000210,
