round,t_total,t_mpi,t_rank0,comm0,comm1,comm2,comm3,comm4,
0,0.078112,0.007943,0.014066,0.007753,0.000000,0.000000,0.000000,0.000190,
1,15.785391,6.896967,0.007849,0.000000,5.524073,1.362721,0.007584,0.002590,
2,3.486876,0.244840,0.002169,0.000000,0.184889,0.056006,0.003825,0.000121,
