t_total,t_mpi,t_rank0,num_threads,num_vertices_local,
92.805600,22.870778,0.037238,2,4096,
94.318378,32.634313,0.066192,8,2048,
101.478613,35.876284,0.136047,32,1024,
113.815302,41.671484,0.295840,128,512,
