num_vertices,k,t_mpi_local,t_mpi_mpi,t_mpi,
2,0,0.000055,0.000002,0.000058,
4,1,0.000079,0.000000,0.000080,
8,2,0.000286,0.000000,0.000286,
16,3,0.001168,0.000000,0.001168,
32,4,0.005036,0.000000,0.005036,
64,5,0.020906,0.000000,0.020906,
128,6,0.088901,0.000001,0.088902,
256,7,0.393120,0.000001,0.393121,
512,8,1.693191,0.000002,1.693193,
1024,9,7.307991,0.000003,7.307994,
2048,10,31.151973,0.000004,31.151977,
4096,11,134.137260,0.000003,134.137262,
8192,12,568.058404,0.000003,568.058407,
