t_total,t_mpi,t_rank0,num_threads,num_vertex_local,
75.866752,26.559402,0.050301,8,2048,
38.070032,13.512675,0.049556,16,1024,
21.362768,8.282937,0.053902,32,512,
12.866787,4.709169,0.061589,64,256,
7.589159,3.703221,0.065038,128,128,
3.600044,1.619616,0.064688,256,64,
