num_vertices,t_rank0,t_mpi,t_total,
32,0.000082,0.000550,0.000706,
64,0.000146,0.000942,0.001289,
128,0.000303,0.001898,0.003018,
256,0.000629,0.006635,0.010861,
512,0.001305,0.021790,0.041176,
1024,0.002565,0.066688,0.147028,
2048,0.005579,0.291864,0.620894,
4096,0.012272,1.124667,2.643938,
8192,0.026279,4.100266,10.663733,
16384,0.058536,15.691806,45.773245,
32768,0.129119,63.956892,191.828043,

