num_vertex_local,k,t_mpi_local,t_mpi_mpi,t_mpi,
8,2,0.000214,0.000055,0.000270,
16,2,0.000447,0.000098,0.000545,
32,2,0.000494,0.000274,0.000767,
64,2,0.001130,0.000967,0.002097,
128,2,0.004069,0.003268,0.007337,
256,2,0.013000,0.015687,0.028687,
512,3,0.055152,0.063676,0.118827,
1024,3,0.231065,0.358327,0.589392,
2048,3,0.805395,1.592713,2.398108,
4096,3,3.351884,6.979278,10.331162,
8192,3,13.222945,30.453915,43.676860,
16384,3,50.961281,128.561647,179.522928,
