num_vertices,k,t_mpi_mpi,t_mpi_local,t_mpi,
32,2,0.029322,0.000197,0.029519,
64,2,0.000894,0.000367,0.001262,
128,2,0.001938,0.001150,0.003088,
256,3,0.005621,0.004717,0.010338,
512,3,0.020504,0.018580,0.039084,
1024,3,0.073327,0.075649,0.148976,
2048,3,0.235100,0.354653,0.589753,
4096,3,0.973391,1.613124,2.586515,
8192,3,3.672265,7.219024,10.891290,
16384,3,14.071036,31.316499,45.387535,
32768,3,57.654391,133.748364,191.402755,
65536,3,229.634992,594.451139,824.086131,
