num_vertices,k,t_mpi_mpi,t_mpi_local,t_mpi,
64,2,0.001303,0.000286,0.001589,
128,2,0.001584,0.000853,0.002437,
256,3,0.004537,0.002453,0.006990,
512,3,0.013271,0.009979,0.023249,
1024,3,0.036511,0.046265,0.082776,
2048,3,0.128849,0.202407,0.331256,
4096,3,0.542045,0.824689,1.366734,
8192,3,1.979343,3.750770,5.730114,
16384,3,8.134647,16.118836,24.253482,
32768,3,30.811809,70.147508,100.959317,
65536,3,121.950668,311.524512,433.475180,
