num_vertices,t_rank0,t_mpi,t_total,
16,0.000044,0.000262,0.000343,
32,0.000059,0.000305,0.000439,
64,0.000127,0.000819,0.001271,
128,0.000261,0.002408,0.004544,
256,0.000527,0.010042,0.018054,
512,0.001043,0.027855,0.059141,
1024,0.002199,0.105611,0.242233,
2048,0.004610,0.451409,0.978283,
4096,0.010329,1.620743,4.142680,
8192,0.022466,6.441720,17.570757,
16384,0.049351,25.214015,74.530255,
32768,0.109392,103.916851,318.749080,
